City,Country
KABUL              ,AFGHANISTAN
TIRANA             ,ALBANIA
ALGIERS            ,ALGERIA
ANDORRA LA VELLA   ,ANDORRA
LUANDA             ,ANGOLA
SAINT JOHNs        ,ANTIGUA & BARBUDA
BUENOS AIRES       ,ARGENTINA
YEREVAN            ,ARMENIA
CANBERRA           ,AUSTRALIA
VIENNA             ,AUSTRIA
BAKU               ,AZERBAIJAN
NASSAU             ,BAHAMAS
MANAMA             ,BAHRAIN
DHAKA              ,BANGLADESH
BRIDGETOWN         ,BARBADOS
MINSK              ,BELARUS
BRUSSELS           ,BELGIUM
BELMOPAN           ,BELIZE
PORTO-NOVO         ,BENIN
THIMPHU            ,BHUTAN
SUCRE              ,BOLIVIA
SARAJEVO           ,BOSNIA & HERZEGOVINA
GABORONE           ,BOTSWANA
BRASILIA           ,BRAZIL
BANDAR SERI BEGAWAN,BRUNEI
SOFIA              ,BULGARIA
FASO OUAGADOUGOU   ,BURKINA
BUJUMBURA          ,BURUNDI
PRAIA              ,CABO VERDE
PHNOM PENH         ,CAMBODIA
YAOUNDE            ,CAMEROON
OTTAWA             ,CANADA
BANGUI             ,CENTRAL AFRICAN REPUBLIC
N'DJAMENA          ,CHAD
SANTIAGO           ,CHILE
BEIJING            ,CHINA
BOGOTA             ,COLOMBIA
MORONI             ,COMOROS
KINSHASA           ,DEMOCRATIC REPUBLIC OF THE CONGO
SAN JOSE           ,COSTA RICA
YAMOUSSOUKRO       ,IVORY COAST
ZAGREB             ,CROATIA
HAVANA             ,CUBA
NICOSIA            ,CYPRUS
PRAGUE             ,CZECH REPUBLIC
COPENHAGEN         ,DENMARK
DJIBOUTI (CITY)    ,DJIBOUTI
ROSEAU             ,DOMINICA
SANTO DOMINGO      ,DOMINICAN REPUBLIC
QUITO              ,ECUADOR
CAIRO              ,EGYPT
SAN SALVADOR       ,EL SALVADOR
MALABO             ,EQUATORIAL GUINEA
ASMARA             ,ERITREA
TALLINN            ,ESTONIA
MBABANE            ,ESWATINI
ADDIS ABABA        ,ETHIOPIA
PALIKIR            ,FEDERATED STATES OF MICRONESIA
SUVA               ,FIJI
HELSINKI           ,FINLAND
PARIS              ,FRANCE
LIBREVILLE         ,GABON
BANJUL             ,The GAMBIA
TBILISI            ,GEORGIA
BERLIN             ,GERMANY
ACCRA              ,GHANA
ATHENS             ,GREECE
SAINT GEORGE'S     ,GRENADA
GUATEMALA CITY     ,GUATEMALA
CONAKRY            ,GUINEA
BISSAU             ,GUINEA-BISSAU
GEORGETOWN         ,GUYANA
PORT-AU-PRINCE     ,HAITI
TEGUCIGALPA        ,HONDURAS
BUDAPEST           ,HUNGARY
REYKJAVIK          ,ICELAND
NEW DELHI          ,INDIA
JAKARTA            ,INDONESIA
TEHRAN             ,IRAN
BAGHDAD            ,IRAQ
DUBLIN             ,IRELAND
TEL AVIV           ,ISRAEL
ROME               ,ITALY
KINGSTON           ,JAMAICA
TOKYO              ,JAPAN
AMMAN              ,JORDAN
ASTANA             ,KAZAKHSTAN
NAIROBI            ,KENYA
SOUTH TARAWA       ,KIRIBATI
PRISTINA           ,KOSOVO
KUWAIT CITY        ,KUWAIT
BISHKEK            ,KYRGYZSTAN
VIENTIANE          ,LAOS
RIGA               ,LATVIA
BEIRUT             ,LEBANON
MASERU             ,LESOTHO
MONROVIA           ,LIBERIA
TRIPOLI            ,LIBYA
VADUZ              ,LIECHTENSTEIN
VILNIUS            ,LITHUANIA
LUXEMBOURG         ,LUXEMBOURG
SKOPJE             ,MACEDONIA
ANTANANARIVO       ,MADAGASCAR
LILONGWE           ,MALAWI
KUALA LUMPUR       ,MALAYSIA
MALE               ,MALDIVES
BAMAKO             ,MALI
VALLETTA           ,MALTA
MAJURO             ,MARSHALL ISLANDS
NOUAKCHOTT         ,MAURITANIA
PORT LOUIS         ,MAURITIUS
MEXICO CITY        ,MEXICO
CHISINAU           ,MOLDOVA
MONACO             ,MONACO
ULAANBAATAR        ,MONGOLIA
PODGORICA          ,MONTENEGRO
RABAT              ,MOROCCO
MAPUTO             ,MOZAMBIQUE
NAY PYI TAW        ,MYANMAR
WINDHOEK           ,NAMIBIA
YAREN DISTRICT     ,NAURU
KATHMANDU          ,NEPAL
AMSTERDAM          ,NETHERLANDS
WELLINGTON         ,NEW ZEALAND
MANAGUA            ,NICARAGUA
NIAMEY             ,NIGER
ABUJA              ,NIGERIA
PYONGYANG          ,NORTH KOREA
OSLO               ,NORWAY
MUSCAT             ,OMAN
ISLAMABAD          ,PAKISTAN
NGERULMUD          ,PALAU
RAMALLAH           ,PALESTINE
PANAMA CITY        ,PANAMA
PORT MORESBY       ,NEW GUINEA
ASUNCION           ,PARAGUAY
LIMA               ,PERU
MANILA             ,PHILIPPINES
WARSAW             ,POLAND
LISBON             ,PORTUGAL
DOHA               ,QATAR
BRAZZAVILLE        ,REPUBLIC OF THE CONGO
BUCHAREST          ,ROMANIA
MOSCOW             ,RUSSIA
KIGALI             ,RWANDA
BASSETERRE         ,SAINT KITTS & NEVIS
CASTRIES           ,SAINT LUCIA
KINGSTOWN          ,SAINT VINCENT & THE GRENADINES
APIA               ,SAMOA
SAN MARINO         ,SAN MARINO
Sao Tome Principe  ,Republica Democratica de Sao Tome e Principe
RIYADH             ,SAUDI ARABIA
DAKAR              ,SENEGAL
BELGRADE           ,SERBIA
VICTORIA           ,SEYCHELLES
Freetown           ,SIERRA LEONE
SINGAPORE          ,SINGAPORE
BRATISLAVA         ,SLOVAKIA
LJUBLJANA          ,SLOVENIA
HONIARA            ,SOLOMON ISLANDS
MOGADISHU          ,SOMALIA
PRETORIA           ,SOUTH AFRICA
SEOUL              ,SOUTH KOREA
JUBA               ,SOUTH SUDAN
MADRID             ,SPAIN
KOTTE              ,SRI LANKA
KHARTOUM           ,SUDAN
PARAMARIBO         ,SURINAME
STOCKHOLM          ,SWEDEN
BERN               ,SWITZERLAND
DAMASCUS           ,SYRIA
DUSHANBE           ,TAJIKISTAN
DODOMA             ,TANZANIA
BANGKOK            ,THAILAND
DILI               ,TIMOR-LESTE
LOME               ,TOGO
Kingdom of Tonga   ,TONGA
PORT OF SPAIN      ,TRINIDAD & TOBAGO
TUNIS              ,TUNISIA
ANKARA             ,TURKEY
ASHGABAT           ,TURKMENISTAN
FUNAFUTI           ,TUVALU
KAMPALA            ,UGANDA
KIEV               ,UKRAINE
ABU DHABI          ,UNITED ARAB EMIRATES
LONDON             ,UNITED KINGDOM
Washington DC      ,UNITED STATES
MONTEVIDEO         ,URUGUAY
TASHKENT           ,UZBEKISTAN
PORT VILA          ,VANUATU
VATICAN CITY       ,VATICAN CITY
CARACAS            ,VENEZUELA
HANOI              ,VIETNAM
SANA               ,YEMEN
LUSAKA             ,ZAMBIA
HARARE             ,ZIMBABWE
